gene,is_TF
Hara14216,Target
Hara09399,Target
Hara01438,Target
Hara28654,Target
Hara30625,Target
Hara32083,Target
Hara25012,Target
Hara00963,Target
Hara25008,Target
Hara20002,Target
Hara18304,Target
Hara20302,Target
Hara25219,Target
Hara04926,Target
Hara11285,Target
Hara00006,Target
Hara30461,Target
Hara19323,Target
Hara30996,Target
Hara12682,Target
Hara08165,Target
Hara10293,Target
Hara06884,Target
Hara13967,Target
Hara09705,Target
Hara22986,Target
Hara30613,Target
Hara02487,Target
Hara03436,Target
Hara19466,Target
Hara18820,Target
Hara28850,Target
Hara10357,Target
Hara20995,Target
Hara00907,Target
Hara10317,Target
Hara18350,Target
Hara26342,Target
Hara07988,Target
Hara05028,Target
Hara19003,Target
Hara12536,Target
Hara29018,Target
Hara15430,Target
Hara08507,Target
Hara13438,Target
Hara04245,Target
Hara22456,Target
Hara10522,Target
Hara21672,Target
Hara13799,Target
Hara07558,Target
Hara03071,Target
Hara04279,Target
Hara27039,Target
Hara13204,Target
Hara23682,Target
Hara23621,Target
Hara15097,Target
Hara05011,Target
Hara09156,Target
Hara02722,Target
Hara03537,Target
Hara21831,Target
Hara06334,Target
Hara31817,Target
Hara19201,Target
Hara01884,Target
Hara31662,Target
Hara06972,Target
Hara05165,Target
Hara12636,Target
Hara11429,Target
Hara32861,Target
Hara29364,Target
Hara24291,Target
Hara07433,Target
Hara16438,Target
Hara08996,Target
Hara16110,Target
Hara24702,Target
Hara01882,Target
Hara18812,Target
Hara21884,Target
Hara30262,Target
Hara29039,Target
Hara12348,Target
Hara15138,Target
Hara30026,Target
Hara15645,Target
Hara18096,Target
Hara30688,Target
Hara17032,Target
Hara16099,Target
Hara01170,Target
Hara30303,Target
Hara05018,Target
Hara14158,Target
Hara03483,Target
Hara04385,Target
Hara09034,Target
Hara26926,Target
Hara32172,Target
Hara19121,Target
Hara22545,Target
Hara00952,Target
Hara30253,Target
Hara17310,Target
Hara09164,Target
Hara29523,Target
Hara32948,Target
Hara18808,Target
Hara15518,Target
Hara28470,Target
Hara14738,Target
Hara06290,Target
Hara26758,Target
Hara03126,Target
Hara03627,Target
Hara22895,Target
Hara22301,Target
Hara23005,Target
Hara08045,Target
Hara23004,Target
Hara15203,Target
Hara11231,Target
Hara24426,Target
Hara32272,Target
Hara23025,Target
Hara22377,Target
Hara29524,Target
Hara12409,Target
Hara16403,Target
Hara26157,Target
Hara00626,Target
Hara13100,Target
Hara11734,Target
Hara23838,Target
Hara02385,Target
Hara15805,Target
Hara25880,Target
Hara22651,Target
Hara00061,Target
Hara30414,Target
Hara32757,Target
Hara15901,Target
Hara27202,Target
Hara01461,Target
Hara12231,Target
Hara08791,Target
Hara15592,Target
Hara11821,Target
Hara07479,Target
Hara05900,Target
Hara09710,Target
Hara20262,Target
Hara05053,Target
Hara02939,Target
Hara16574,Target
Hara01006,Target
Hara16275,Target
Hara14405,Target
Hara14892,Target
Hara01885,Target
Hara00918,Target
Hara05967,Target
Hara15171,Target
Hara26343,Target
Hara25807,Target
Hara24332,Target
Hara18763,Target
Hara00266,Target
Hara04419,Target
Hara11669,Target
Hara07782,Target
Hara12362,Target
Hara32843,Target
Hara03388,Target
Hara14395,Target
Hara11646,Target
Hara25878,Target
Hara26041,Target
Hara17559,Target
Hara11736,Target
Hara18809,Target
Hara13307,Target
Hara31848,Target
Hara26300,Target
Hara25425,Target
Hara30147,Target
Hara12358,Target
Hara02092,Target
Hara08609,Target
Hara25229,Target
Hara13703,Target
Hara03005,Target
Hara11245,Target
Hara12004,Target
Hara24604,Target
Hara07181,Target
Hara22554,Target
Hara28126,Target
Hara02528,Target
Hara01017,Target
Hara10129,Target
Hara03951,Target
Hara08666,Target
Hara12123,Target
Hara06400,Target
Hara10761,Target
Hara00080,Target
Hara19767,Target
Hara12704,Target
Hara11902,Target
Hara30895,Target
Hara17184,Target
Hara21823,Target
Hara21074,Target
Hara15382,Target
Hara16527,Target
Hara22123,Target
Hara26904,Target
Hara23599,Target
Hara05005,Target
Hara05930,Target
Hara25688,Target
Hara12408,Target
Hara30386,Target
Hara19714,Target
Hara15775,Target
Hara26747,Target
Hara30283,Target
Hara28027,Target
Hara11142,Target
Hara30060,Target
Hara12996,Target
Hara30173,Target
Hara19990,Target
Hara05711,Target
Hara08957,Target
Hara19127,Target
Hara00417,Target
Hara07835,Target
Hara27021,Target
Hara27295,Target
Hara00520,Target
Hara17031,Target
Hara15546,Target
Hara27366,Target
Hara12582,Target
Hara24010,Target
Hara32597,Target
Hara08146,Target
Hara00393,Target
Hara27129,Target
Hara18927,Target
Hara23171,Target
Hara17138,Target
Hara02488,Target
Hara26600,Target
Hara23298,Target
Hara13206,Target
Hara30271,Target
Hara27182,Target
Hara13996,Target
Hara17255,Target
Hara30227,Target
Hara17063,Target
Hara10854,Target
Hara05436,Target
Hara02944,Target
Hara23207,Target
Hara15321,Target
Hara12887,Target
Hara32542,Target
Hara26494,Target
Hara24930,Target
Hara28689,Target
Hara06777,Target
Hara25940,Target
Hara15407,Target
Hara22304,Target
Hara03777,Target
Hara14087,Target
Hara33154,Target
Hara23190,Target
Hara08415,Target
Hara19140,Target
Hara19861,Target
Hara25730,Target
Hara05597,Target
Hara18333,Target
Hara22597,Target
Hara13182,TF
Hara15567,TF
Hara13179,TF
Hara16676,TF
Hara07412,TF
Hara25686,TF
Hara02237,TF
Hara26565,TF
Hara21998,TF
Hara12145,TF
Hara04722,TF
Hara19785,TF
Hara32662,TF
Hara04437,TF
Hara13521,TF
Hara12916,TF
Hara25781,TF
Hara00544,TF
Hara12031,TF
Hara15109,TF
Hara22663,TF
Hara20107,TF
Hara17461,TF
Hara27955,TF
Hara16041,TF
Hara19959,TF
Hara17497,TF
Hara32359,TF
Hara27318,TF
Hara18748,TF
Hara11447,TF
Hara00799,TF
Hara22468,TF
Hara00601,TF
Hara03863,TF
Hara03455,TF
Hara16499,TF
Hara15603,TF
Hara07758,TF
