gene,is_TF
Hara00585,TF
Hara00800,TF
Hara16253,TF
Hara15881,TF
Hara15883,TF
Hara27119,TF
Hara03430,TF
Hara05717,TF
Hara15882,TF
Hara04094,TF
Hara33165,TF
Hara26525,TF
Hara00903,TF
Hara32974,TF
Hara00576,TF
Hara16442,TF
Hara11788,TF
Hara15685,TF
Hara03987,TF
Hara09450,TF
Hara17846,TF
Hara04317,TF
Hara25879,TF
Hara25582,TF
Hara32511,TF
Hara20665,TF
Hara27250,TF
Hara13159,TF
Hara04652,TF
Hara27187,TF
Hara26063,TF
Hara22853,TF
Hara33283,TF
Hara09228,TF
Hara16153,TF
Hara25918,TF
Hara27546,TF
Hara21728,TF
Hara30757,TF
Hara09000,TF
Hara28555,TF
Hara27024,TF
Hara26468,TF
Hara13167,TF
Hara02673,TF
Hara13044,TF
Hara31497,TF
Hara15733,TF
Hara04686,TF
Hara26948,TF
Hara32919,TF
Hara05250,TF
Hara22875,TF
Hara12711,TF
Hara27536,TF
Hara23088,TF
Hara27700,TF
Hara00658,TF
Hara17237,TF
Hara19376,TF
Hara08075,TF
Hara02954,TF
Hara26983,TF
Hara28841,TF
Hara10904,TF
Hara00682,TF
Hara26757,TF
Hara24593,TF
Hara30008,TF
Hara16427,TF
Hara26509,TF
Hara18684,TF
Hara00584,TF
Hara17606,TF
Hara30065,TF
Hara26059,TF
Hara19556,TF
Hara16645,TF
Hara12515,TF
Hara22773,TF
Hara20172,TF
Hara00539,TF
Hara22035,TF
Hara05603,TF
Hara15411,TF
Hara07673,TF
Hara32976,TF
Hara30133,TF
Hara27532,TF
Hara13058,TF
Hara26002,TF
Hara04110,TF
Hara16068,TF
Hara11970,TF
Hara16421,TF
Hara03315,TF
Hara12814,TF
Hara15615,TF
Hara30157,TF
