,regulator,target,weight
79,Hara00576,Hara09156,0.064013493
80,Hara27187,Hara02722,0.063992672
81,Hara27700,Hara03537,0.063931167
82,Hara05250,Hara21831,0.063818648
83,Hara27024,Hara28850,0.063806682
84,Hara27532,Hara06334,0.063801433
85,Hara26063,Hara31817,0.063768959
86,Hara10904,Hara19201,0.063696791
87,Hara10904,Hara01884,0.063545547
88,Hara18748,Hara13967,0.063341234
89,Hara00682,Hara03071,0.063302329
90,Hara15567,Hara31662,0.063273279
91,Hara05250,Hara12536,0.063221309
92,Hara09228,Hara06972,0.063168745
93,Hara26002,Hara05165,0.063088723
94,Hara33283,Hara10317,0.063059831
95,Hara33283,Hara12636,0.06299724
96,Hara00658,Hara11429,0.062964722
97,Hara13182,Hara32861,0.062796679
98,Hara22773,Hara03436,0.062612744
99,Hara02237,Hara27039,0.062537993
100,Hara27532,Hara28654,0.062443215
101,Hara15109,Hara29364,0.062384867
102,Hara27700,Hara13967,0.062383112
103,Hara04110,Hara24291,0.062298864
104,Hara27532,Hara07433,0.062296863
105,Hara25686,Hara16438,0.062260483
106,Hara25582,Hara08996,0.062132397
107,Hara22875,Hara16110,0.062082722
108,Hara25582,Hara24702,0.061966447
109,Hara25582,Hara01882,0.061852146
110,Hara26565,Hara18812,0.061851672
111,Hara26063,Hara04926,0.061744426
112,Hara22853,Hara28654,0.061699843
113,Hara27187,Hara21884,0.061639119
114,Hara15567,Hara30262,0.061550563
115,Hara04317,Hara29039,0.06153784
116,Hara26468,Hara29018,0.061503042
117,Hara18748,Hara12348,0.061467001
118,Hara15883,Hara15138,0.061390822
119,Hara32511,Hara24291,0.061384987
120,Hara27187,Hara30026,0.061328091
121,Hara26468,Hara15645,0.061306889
122,Hara27024,Hara18096,0.061011885
123,Hara24593,Hara30688,0.060956525
124,Hara25686,Hara02237,0.060905372
125,Hara02237,Hara17032,0.060898098
126,Hara20172,Hara30157,0.060788015
127,Hara11447,Hara16099,0.060781976
128,Hara00799,Hara01170,0.060739818
129,Hara13179,Hara30303,0.060589298
130,Hara30008,Hara05018,0.060467675
131,Hara26063,Hara14158,0.060367851
132,Hara22875,Hara25012,0.060312733
133,Hara27546,Hara03483,0.060142031
134,Hara00539,Hara04385,0.06007408
135,Hara20665,Hara30461,0.06002628
136,Hara26468,Hara09034,0.059985444
137,Hara13167,Hara30262,0.059977797
138,Hara27250,Hara26342,0.05995736
139,Hara22468,Hara26926,0.059875125
140,Hara00601,Hara32172,0.059835706
141,Hara11447,Hara19121,0.059817434
142,Hara27700,Hara22545,0.059650944
143,Hara15567,Hara00952,0.059625826
144,Hara16676,Hara30253,0.059621098
145,Hara27119,Hara17310,0.059610579
146,Hara22035,Hara09164,0.059575704
147,Hara12711,Hara29523,0.059528571
148,Hara27700,Hara25008,0.059414506
149,Hara16676,Hara24702,0.059402504
150,Hara03863,Hara10357,0.059234717
151,Hara03430,Hara16099,0.059217765
152,Hara00903,Hara32948,0.059161873
153,Hara15883,Hara03071,0.059016296
154,Hara27024,Hara18808,0.05898119
155,Hara15883,Hara20995,0.058931581
156,Hara30008,Hara15518,0.058930309
157,Hara16427,Hara28470,0.058872172
158,Hara16068,Hara14738,0.058845886
159,Hara00544,Hara06290,0.058807778
160,Hara21998,Hara26758,0.058803872
161,Hara22853,Hara25219,0.058796839
162,Hara27536,Hara03126,0.058795363
163,Hara15567,Hara03627,0.058701827
164,Hara23088,Hara22895,0.058588758
165,Hara16427,Hara22301,0.058582891
166,Hara22663,Hara23005,0.058437076
167,Hara05717,Hara08045,0.058333677
168,Hara16442,Hara29018,0.058204284
169,Hara26565,Hara23004,0.058176354
170,Hara27250,Hara15203,0.058039317
171,Hara16427,Hara11231,0.058029319
172,Hara15882,Hara04385,0.057952002
173,Hara16427,Hara24426,0.057857393
174,Hara16676,Hara30133,0.05774206
175,Hara11970,Hara32272,0.057692537
176,Hara30008,Hara23025,0.057634793
177,Hara20107,Hara22377,0.057494579
178,Hara00682,Hara29524,0.057477918
179,Hara18748,Hara12409,0.057468874
180,Hara16253,Hara16403,0.057450741
181,Hara05250,Hara32272,0.05741234
182,Hara26757,Hara26157,0.057388621
183,Hara11788,Hara00626,0.057370049
184,Hara15685,Hara00799,0.057307517
185,Hara16421,Hara13100,0.057299277
186,Hara13058,Hara11734,0.057264188
187,Hara03455,Hara23838,0.057184235
188,Hara00799,Hara02385,0.057157221
189,Hara03987,Hara15805,0.057122869
190,Hara18748,Hara25686,0.057111612
191,Hara25879,Hara25880,0.057091096
192,Hara27700,Hara22651,0.057049753
193,Hara09450,Hara32948,0.057048949
194,Hara00799,Hara16099,0.057036329
195,Hara00576,Hara00061,0.057020274
196,Hara03315,Hara30414,0.056996381
197,Hara15567,Hara32757,0.056900449
198,Hara27187,Hara18304,0.056833854
199,Hara13159,Hara29018,0.056770496
200,Hara26509,Hara15901,0.056755024
201,Hara21728,Hara27202,0.056566379
202,Hara22468,Hara01461,0.056526391
203,Hara15881,Hara12231,0.05652152
204,Hara28841,Hara08791,0.056440444
205,Hara15109,Hara15592,0.056278801
206,Hara05603,Hara11821,0.056171614
207,Hara28841,Hara24291,0.056154838
208,Hara18684,Hara07479,0.056151675
209,Hara21728,Hara05900,0.056128991
210,Hara27024,Hara15430,0.056124853
211,Hara17237,Hara09710,0.056013418
212,Hara02673,Hara20262,0.056003936
213,Hara27024,Hara05053,0.055994248
214,Hara23088,Hara02939,0.055966343
215,Hara22875,Hara24291,0.055928488
216,Hara27700,Hara16574,0.055824978
217,Hara16442,Hara12231,0.05582382
218,Hara26063,Hara01006,0.055787522
219,Hara16499,Hara16275,0.055782397
220,Hara00682,Hara31817,0.055767725
221,Hara00682,Hara15430,0.055751979
222,Hara15883,Hara14405,0.055727922
223,Hara04317,Hara14892,0.05570284
224,Hara12145,Hara01885,0.05566963
225,Hara13179,Hara00918,0.05563742
226,Hara15603,Hara05967,0.055613389
227,Hara25918,Hara15171,0.055575598
228,Hara00584,Hara26343,0.055572443
229,Hara15883,Hara31817,0.055544773
230,Hara07758,Hara25807,0.055539002
231,Hara19376,Hara24332,0.055427619
232,Hara11447,Hara07479,0.055374524
233,Hara05250,Hara18763,0.055315224
234,Hara12814,Hara00266,0.055236652
235,Hara26757,Hara04419,0.055217129
236,Hara16253,Hara18763,0.055149071
237,Hara03315,Hara11669,0.055137936
238,Hara30008,Hara07782,0.055126154
239,Hara17606,Hara12362,0.055119934
240,Hara00539,Hara17310,0.055074636
241,Hara09228,Hara32843,0.055038894
242,Hara05603,Hara03388,0.055029507
243,Hara00903,Hara10317,0.054962031
244,Hara24593,Hara14395,0.054957859
245,Hara13058,Hara11646,0.054954447
246,Hara30065,Hara25878,0.05494785
247,Hara04094,Hara32948,0.054936025
248,Hara09228,Hara26041,0.054934096
249,Hara26063,Hara20995,0.054933487
250,Hara25686,Hara32948,0.054857769
251,Hara17461,Hara20002,0.054825726
252,Hara17461,Hara17559,0.054759687
253,Hara20665,Hara10317,0.054751452
254,Hara04722,Hara23005,0.054682837
255,Hara26059,Hara11736,0.054628752
256,Hara22773,Hara18809,0.054579261
257,Hara20665,Hara25880,0.054568194
258,Hara05250,Hara26948,0.054448445
259,Hara30757,Hara09156,0.054438645
260,Hara13159,Hara30414,0.054433052
261,Hara16253,Hara32272,0.054433028
262,Hara19785,Hara09705,0.054430807
263,Hara27024,Hara13307,0.054414595
264,Hara15881,Hara16442,0.054405505
265,Hara25582,Hara31848,0.054363165
266,Hara25686,Hara32083,0.054291818
267,Hara11970,Hara26948,0.054237102
268,Hara27024,Hara26300,0.054197435
269,Hara05717,Hara25425,0.054188901
270,Hara11970,Hara21831,0.054174905
271,Hara15881,Hara30147,0.054170599
272,Hara27955,Hara13521,0.054168928
273,Hara32662,Hara20107,0.054155022
274,Hara22875,Hara12358,0.054144053
275,Hara19376,Hara00061,0.054129704
276,Hara13044,Hara02092,0.054110047
277,Hara00658,Hara08609,0.054076099
278,Hara24593,Hara15883,0.054071079
279,Hara12145,Hara25229,0.054061755
280,Hara09228,Hara13703,0.053952241
281,Hara24593,Hara04419,0.053930118
282,Hara04317,Hara03005,0.053912875
283,Hara32662,Hara11245,0.053908717
284,Hara00544,Hara12636,0.053905684
285,Hara16427,Hara12004,0.053904408
286,Hara33165,Hara24604,0.053900933
287,Hara09000,Hara07181,0.053871545
288,Hara17606,Hara22554,0.053732571
289,Hara15881,Hara28126,0.053713439
290,Hara08075,Hara02528,0.053702967
291,Hara15883,Hara02487,0.053699482
292,Hara28841,Hara01017,0.053688518
293,Hara16153,Hara10129,0.053677251
294,Hara26757,Hara23004,0.0536555
295,Hara31497,Hara03951,0.053633454
296,Hara26059,Hara08666,0.053570215
297,Hara27024,Hara12123,0.053550484
298,Hara16421,Hara15592,0.053535694
299,Hara16041,Hara06400,0.053527732
300,Hara16253,Hara21831,0.053484711
301,Hara05250,Hara10761,0.053476365
302,Hara03987,Hara00080,0.053379703
303,Hara09228,Hara19767,0.053338022
304,Hara20107,Hara12704,0.053336211
305,Hara15411,Hara11902,0.053334579
306,Hara15109,Hara30895,0.053264922
307,Hara09228,Hara17184,0.053142006
308,Hara05250,Hara21823,0.053139616
309,Hara00576,Hara21074,0.05309335
310,Hara19959,Hara15382,0.053068199
311,Hara15733,Hara08507,0.053067215
312,Hara10904,Hara16527,0.053019768
313,Hara00903,Hara22123,0.053016648
314,Hara15883,Hara24593,0.053001888
315,Hara04437,Hara26904,0.05294222
316,Hara27532,Hara25219,0.052915379
317,Hara17606,Hara23599,0.052911432
318,Hara07673,Hara05005,0.052909349
319,Hara25879,Hara05930,0.052909008
320,Hara30757,Hara25688,0.052907396
321,Hara28841,Hara12408,0.052844947
322,Hara04686,Hara30157,0.052843494
323,Hara32662,Hara30386,0.05283976
324,Hara12515,Hara32948,0.052823101
325,Hara26063,Hara02487,0.052753833
326,Hara13044,Hara19714,0.052752155
327,Hara28555,Hara32919,0.052733041
328,Hara19376,Hara24291,0.052701025
329,Hara26063,Hara03071,0.052671731
330,Hara16253,Hara15775,0.052670934
331,Hara27536,Hara26747,0.052661197
332,Hara16676,Hara30283,0.052547583
333,Hara00544,Hara28027,0.052520977
334,Hara16421,Hara14395,0.052471347
335,Hara30065,Hara19376,0.052466067
336,Hara19556,Hara08507,0.052435653
337,Hara33283,Hara11142,0.052339948
338,Hara15883,Hara30060,0.052338422
339,Hara26757,Hara24593,0.05233805
340,Hara32976,Hara11736,0.052334719
341,Hara03455,Hara12996,0.052320276
342,Hara26525,Hara30173,0.052290723
343,Hara22875,Hara19990,0.052290688
344,Hara04094,Hara05711,0.052279636
345,Hara11447,Hara01170,0.052268059
346,Hara16427,Hara08957,0.05226579
347,Hara00799,Hara19127,0.052246924
348,Hara00799,Hara00417,0.052172487
349,Hara07412,Hara13521,0.052138374
350,Hara22035,Hara01461,0.05212499
351,Hara24593,Hara26757,0.052107101
352,Hara03455,Hara07835,0.052105728
353,Hara00903,Hara04385,0.052087352
354,Hara30757,Hara27021,0.05207359
355,Hara13182,Hara27295,0.052040841
356,Hara03430,Hara10357,0.052031567
357,Hara16253,Hara28126,0.051997336
358,Hara13044,Hara00520,0.051964521
359,Hara30008,Hara26926,0.051906057
360,Hara00544,Hara17031,0.051901312
361,Hara26757,Hara21074,0.05187817
362,Hara27700,Hara26041,0.051838901
363,Hara05250,Hara00266,0.05179452
364,Hara21728,Hara15546,0.051770618
365,Hara26565,Hara22301,0.051768782
366,Hara26525,Hara27366,0.051742721
367,Hara30008,Hara12636,0.05172763
368,Hara30065,Hara24332,0.051719576
369,Hara24593,Hara10522,0.051616126
370,Hara17497,Hara12582,0.051608492
371,Hara07758,Hara24010,0.051589919
372,Hara19376,Hara32597,0.051586322
373,Hara22875,Hara16427,0.051543186
374,Hara04722,Hara08146,0.051490562
375,Hara22663,Hara00393,0.051482886
376,Hara32662,Hara05900,0.051458882
377,Hara25879,Hara30461,0.051433921
378,Hara02237,Hara16438,0.051392871
379,Hara20665,Hara16275,0.051367554
380,Hara03987,Hara12996,0.051356515
381,Hara27546,Hara04245,0.051339306
382,Hara22468,Hara27129,0.051331754
383,Hara27700,Hara18927,0.051296885
384,Hara33165,Hara23171,0.051266482
385,Hara12711,Hara17138,0.051264193
386,Hara23088,Hara11669,0.051235042
387,Hara16421,Hara13521,0.051210396
388,Hara27024,Hara02488,0.051173228
389,Hara16421,Hara15805,0.051161736
390,Hara32359,Hara32757,0.051127469
391,Hara30133,Hara32861,0.051103101
392,Hara16253,Hara26600,0.051049293
393,Hara19785,Hara23298,0.051045819
394,Hara04652,Hara13206,0.05096219
395,Hara15883,Hara04419,0.050864967
396,Hara19376,Hara30271,0.050839119
397,Hara24593,Hara27182,0.050827255
398,Hara30008,Hara13996,0.050824436
399,Hara12814,Hara30253,0.050815189
400,Hara13179,Hara17255,0.050793822
401,Hara26063,Hara30227,0.05078349
402,Hara15883,Hara06884,0.050781605
403,Hara11970,Hara17063,0.050712305
404,Hara00682,Hara10854,0.050706805
405,Hara00585,Hara05436,0.05069948
406,Hara15883,Hara28850,0.050686705
407,Hara31497,Hara02944,0.050671314
408,Hara02954,Hara23207,0.050668755
409,Hara17237,Hara09164,0.050614953
410,Hara16442,Hara21672,0.050591345
411,Hara16421,Hara23838,0.050585247
412,Hara13182,Hara17559,0.050554499
413,Hara12031,Hara15321,0.050551547
414,Hara00544,Hara15518,0.050543554
415,Hara21728,Hara30688,0.05051858
416,Hara07758,Hara12887,0.050509732
417,Hara12711,Hara32542,0.050497944
418,Hara19376,Hara26494,0.050485685
419,Hara17846,Hara24930,0.050459722
420,Hara05717,Hara28689,0.050447177
421,Hara16421,Hara27182,0.050435975
422,Hara24593,Hara06777,0.050427844
423,Hara30008,Hara10522,0.050426289
424,Hara16068,Hara32919,0.050369138
425,Hara18748,Hara25940,0.050362592
426,Hara04652,Hara02488,0.050352326
427,Hara30065,Hara26343,0.050334934
428,Hara00584,Hara03126,0.050334455
429,Hara02237,Hara25686,0.050307868
430,Hara15567,Hara15407,0.050289728
431,Hara19785,Hara10129,0.050288721
432,Hara15883,Hara18096,0.050250263
433,Hara26983,Hara22304,0.050229303
434,Hara00800,Hara03777,0.050210647
435,Hara27536,Hara14087,0.050182612
436,Hara28841,Hara33154,0.050151945
437,Hara10904,Hara23190,0.050147122
438,Hara15615,Hara08415,0.050146183
439,Hara30065,Hara19140,0.050139784
440,Hara05603,Hara26758,0.050129121
441,Hara15881,Hara07782,0.050123499
442,Hara22875,Hara19861,0.050111222
443,Hara13058,Hara01438,0.050110894
444,Hara32511,Hara15883,0.05010284
445,Hara31497,Hara25730,0.05009819
446,Hara20665,Hara31662,0.050087854
447,Hara20665,Hara00006,0.050050817
448,Hara16645,Hara05597,0.050043449
449,Hara30008,Hara18333,0.050036207
450,Hara27318,Hara22597,0.050029538
451,Hara03863,Hara02385,0.05000627
