,regulator,target,weight
1,Hara27187,Hara14216,0.111768217
2,Hara27532,Hara09399,0.101449612
3,Hara26063,Hara01438,0.100680244
4,Hara05250,Hara28654,0.097133889
5,Hara27532,Hara30625,0.093990861
6,Hara18748,Hara32083,0.093612451
7,Hara27532,Hara25012,0.092578804
8,Hara13182,Hara00963,0.090695226
9,Hara26063,Hara25008,0.087582519
10,Hara28841,Hara20002,0.086533758
11,Hara22853,Hara25012,0.086208323
12,Hara27532,Hara18304,0.083696781
13,Hara12916,Hara20302,0.08361383
14,Hara27187,Hara28654,0.083340216
15,Hara22875,Hara25219,0.082798392
16,Hara22875,Hara28654,0.082514248
17,Hara18748,Hara04926,0.082455706
18,Hara25781,Hara11285,0.081493082
19,Hara15567,Hara00006,0.08129967
20,Hara15567,Hara30461,0.081024726
21,Hara27187,Hara19323,0.080687308
22,Hara05250,Hara25012,0.080416977
23,Hara10904,Hara30996,0.080189473
24,Hara33283,Hara12682,0.080066493
25,Hara27187,Hara25219,0.079164503
26,Hara27187,Hara25012,0.078927774
27,Hara28841,Hara08165,0.077017201
28,Hara05250,Hara25219,0.076381889
29,Hara10904,Hara10293,0.076293149
30,Hara00903,Hara20002,0.075947268
31,Hara00682,Hara06884,0.074962294
32,Hara18748,Hara25008,0.074660352
33,Hara26063,Hara13967,0.074170443
34,Hara13179,Hara09705,0.073285027
35,Hara10904,Hara22986,0.072950991
36,Hara15567,Hara30613,0.072650541
37,Hara27024,Hara02487,0.072545832
38,Hara32974,Hara03436,0.072248745
39,Hara16676,Hara19466,0.071429001
40,Hara00682,Hara02487,0.071159385
41,Hara04317,Hara18820,0.071150565
42,Hara00682,Hara28850,0.070810744
43,Hara11447,Hara10357,0.070580645
44,Hara00682,Hara20995,0.070460047
45,Hara16253,Hara28654,0.070372512
46,Hara09228,Hara00907,0.0703558
47,Hara13058,Hara19466,0.070327924
48,Hara25879,Hara10317,0.070183631
49,Hara12515,Hara18350,0.069931189
50,Hara12711,Hara26342,0.069576269
51,Hara16153,Hara07988,0.069444824
52,Hara09228,Hara07988,0.069396942
53,Hara22773,Hara05028,0.069202356
54,Hara11447,Hara19003,0.069135997
55,Hara16253,Hara12536,0.06883703
56,Hara27024,Hara06884,0.068183665
57,Hara15881,Hara29018,0.067681909
58,Hara15883,Hara15430,0.067380924
59,Hara07412,Hara08507,0.06728492
60,Hara25918,Hara13438,0.067040646
61,Hara13182,Hara04245,0.066994411
62,Hara27536,Hara22456,0.066002665
63,Hara16253,Hara25012,0.065938612
64,Hara00544,Hara10522,0.065565502
65,Hara15881,Hara21672,0.065524036
66,Hara23088,Hara13799,0.065432997
67,Hara09228,Hara07558,0.065272062
68,Hara27024,Hara03071,0.065214653
69,Hara15883,Hara04279,0.065003315
70,Hara25686,Hara27039,0.064793823
71,Hara26063,Hara13204,0.064612718
72,Hara27024,Hara23682,0.064565105
73,Hara25686,Hara23621,0.064439285
74,Hara09228,Hara15097,0.064430803
75,Hara26757,Hara15883,0.064257579
76,Hara15567,Hara10317,0.064212815
77,Hara00682,Hara23682,0.06406066
78,Hara12031,Hara05011,0.06404047
